R,C,A,N,Threads,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
100,100,100,100,4,28093.18,712.83,3266.78,547.56,3117.27,552.72,8968.57,307.63,35.57,5.67,43481.38,1807.19
100,100,100,100,5,28486.80,777.33,3062.73,91.19,2942.74,137.07,9104.03,73.52,42.36,6.34,43638.67,1001.59
100,100,100,100,6,28354.19,1015.05,2568.15,81.74,2475.05,76.91,9137.03,196.16,38.17,5.12,42572.59,1240.72
100,100,100,100,7,28703.03,889.57,2999.18,287.91,2947.38,261.19,12151.84,1060.52,45.09,3.39,46846.52,1319.11
100,100,100,100,8,28738.80,1066.01,3152.53,176.85,3010.48,152.47,13934.48,236.49,54.31,13.09,48890.61,1129.59
100,100,100,100,9,28722.31,1613.53,4475.67,372.11,4208.69,218.01,13230.27,337.69,41.71,3.58,50678.65,1735.33
100,100,100,100,10,28392.47,807.92,4171.49,251.29,4015.43,307.70,12950.89,283.37,39.98,4.00,49570.26,892.15
100,100,100,100,11,29724.81,897.46,4375.10,452.43,3789.45,291.55,13400.32,394.50,52.23,11.47,51341.91,1675.28
100,100,100,100,12,29974.40,669.17,4380.85,534.65,4181.11,334.13,13950.72,345.62,47.45,3.15,52534.52,961.02
100,100,1000,100,1,369361.08,6688.72,116648.42,737.17,108419.37,409.31,119533.28,1866.00,38.47,4.88,714000.63,6864.29
100,100,1000,100,2,262296.46,2583.44,68801.96,840.06,65546.55,1043.19,126943.96,2516.47,39.41,3.64,523628.35,4250.87
100,100,1000,100,3,259911.35,4005.05,50260.90,1037.39,49406.81,1240.02,135897.02,2869.91,39.52,4.55,495515.59,7912.25
100,100,1000,100,4,256608.20,1737.69,40655.60,677.93,39313.82,381.26,140806.50,493.35,41.93,5.86,477426.06,2199.28
100,100,1000,100,5,266611.89,11644.58,45264.56,465.99,43607.12,340.59,141910.65,2012.72,42.14,7.78,497436.36,13824.88
100,100,1000,100,6,263675.40,11182.34,38133.91,1304.06,37981.98,903.29,144902.64,7752.83,39.83,5.00,484733.77,18309.86
100,100,1000,100,7,269500.45,14549.91,34129.27,954.15,34799.98,1569.34,146080.51,5642.06,52.28,28.25,484562.50,18077.35
100,100,1000,100,8,279164.90,17618.53,33831.12,6993.19,31956.29,3438.11,146192.91,5148.29,39.26,5.02,491184.49,24659.92
100,100,1000,100,9,265913.72,8521.45,34259.10,832.71,34334.03,1910.37,139164.01,1573.59,39.50,4.48,473710.35,9177.23
100,100,1000,100,10,276144.03,15795.10,33998.86,1162.49,34279.29,1833.52,143115.29,3100.46,36.79,1.50,487574.26,18166.90
100,100,1000,100,11,274566.04,7184.38,32426.27,1242.26,31847.16,1085.95,146702.29,8995.36,37.52,3.91,485579.28,13774.08
100,100,1000,100,12,267567.84,17567.23,32010.65,1331.42,31619.59,1114.17,140114.88,1097.05,37.55,2.73,471350.51,18495.64
